# A row is an owed implementation, not an accepted deviation. Remove it only
# after the named published case passes its production-entry consumer.
family	case_id	owner	reason
agent-environment-marker-v1/schema-cases	valid-codex-seed-record-empty-snapshot.json	STORY-260916-1i1gfo	Parse rejects the valid Codex seed record forms added by E3.
agent-environment-marker-v1/schema-cases	valid-codex-seed-record.json	STORY-260916-1i1gfo	Parse rejects the valid Codex seed record forms added by E3.
manager-config-v2/schema-cases	invalid-system-module-waiver-missing-reason.json	STORY-260922-1cenbr	Load rejects before the E2 diagnostic because the updated case carries the unsupported 0017/0018 manager configuration field.
manager-config-v2/schema-cases	invalid-system-module-waiver-package-grammar.json	STORY-260922-1cenbr	Load rejects before the E2 diagnostic because the updated case carries the unsupported 0017/0018 manager configuration field.
manager-config-v2/schema-cases	invalid-system-module-waiver-unknown-field.json	STORY-260922-1cenbr	Load rejects before the E2 diagnostic because the updated case carries the unsupported 0017/0018 manager configuration field.
manager-config-v2/schema-cases	invalid-transitive-system-modules-value.json	STORY-260922-1cenbr	Load rejects before the E2 diagnostic because the updated case carries the unsupported 0017/0018 manager configuration field.
manager-config-v2/schema-cases	valid-overlay-git-git-uppercase.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-overlay-git-http-uppercase.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-overlay-git-https-uppercase.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-overlay-git-scp-no-user.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-overlay-git-scp.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-overlay-git-single-letter-host.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-overlay-git-ssh-uppercase.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-overlay-path-colon-later-segment.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-overlay-path-relative.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-overlay-path-source.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-overlay-path-windows-backslash.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-overlay-path-windows-double-slash.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-overlay-path-windows-lowercase-drive.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-overlay-path-windows-slash.json	STORY-260916-ioemse	Load rejects on the unsupported source_signers or require_source_signers field owned by E1, before evaluating the overlay path kind.
manager-config-v2/schema-cases	valid-provider-directories-windows-drive.json	STORY-260922-1cenbr	Load rejects a valid manager-config case containing the adopted 0017/0018 configuration model.
