# The complete vocabulary of legitimate skip reasons, and what each one means.
#
# `.github/ci/platform-case-gate.sh` matches the reason text a skipped test
# actually printed against these patterns. A skip whose reason matches NOTHING
# here is fatal: that is how a newly-introduced skip is caught the first time it
# runs, instead of quietly shrinking the suite.
#
# Every skip -- tolerated or not -- is written to `skips-observed.tsv` with its
# package, case name, class and verbatim reason, so "no case silently skipped"
# is a property of the evidence and not of a promise.
#
# policy:
#   allow          legitimate under any root
#   deferred-only  legitimate only for a package `suite-plan.sh` deferred
#                  because the supplied root does not publish its artefacts.
#                  In a lane that requires a fully-serving root there are no
#                  deferred packages, so this class becomes fatal there --
#                  which is exactly what stops a candidate run from passing
#                  while a package ran without its vectors.
#
# class meanings:
#   platform-control  a control or fixture the protocol/runtime defines for
#                     another platform only. This is the acceptance criteria's
#                     "protocol-defined unsupported platform controls" carve-out
#                     and the ONLY class that may hide a whole platform's
#                     behaviour.
#   host-capability   the runner cannot create the artefact the case needs
#                     (symlink, hard link, reparse point, FIFO, named pipe,
#                     non-UTF-8 name, case sensitivity, mode-000 semantics).
#   root-content      the supplied conformance root publishes no such vector
#                     group. Recorded against the root's identity in the
#                     candidate evidence.
#   root-unset        the package ran with CURATOR_CONFORMANCE_ROOT unset.
#   opt-in            an explicit developer environment variable or a probe
#                     that hashes the host toolchain.
#   helper-process    the `go test` helper-process re-exec pattern.
#
# Columns are TAB separated. `regex` is an extended regular expression matched
# against the reason text, anchored nowhere -- it may match anywhere in it.
#
# class	regex	policy	note

# --- the conformance root ---------------------------------------------------
root-unset	CURATOR_CONFORMANCE_ROOT is not set	deferred-only	the package was deferred by suite-plan.sh
root-content	publishes no 	allow	the supplied root does not publish this vector group
root-content	is a pre-revision root	allow	the supplied root predates this artefact
root-content	publishes a release other than the pinned 	allow	CI's SPEC_PIN and the module's immutable release pin are promoted by separate owners; the module pin is asserted against its own release and declares any other one

# --- protocol / platform-defined controls -----------------------------------
platform-control	available only on (Windows|macOS) in rc5-native-control-inventory-v1	allow	the inventory defines this control for one platform only
platform-control	rc5-native-control-inventory-v1 defines no record for host 	allow	the inventory covers macOS and Windows only, so this host cannot complete a compiled build; the refusal is asserted on that runner by TestCompiledInstallFollowsTheNativeControlInventoryExactly
platform-control	(is|are) exercised (on|by) 	allow	the behaviour is asserted on its own platform's runner
platform-control	is covered by PowerShell on Windows	allow	the behaviour is asserted on the Windows runner
platform-control	executes (a )?POSIX (launcher|skill commands)	allow	a POSIX launcher fixture, asserted on the unix runners
platform-control	POSIX post-install launch fixture	allow	a POSIX post-install fixture, asserted on the unix runners
platform-control	shell sentinel is Unix-only	allow	the sentinel exists on unix only
platform-control	test transport wrapper is POSIX-only	allow	the fixture uses a POSIX shell wrapper; native admission remains covered on Windows
platform-control	local TLS fixture relies on the platform Git shipped on Unix CI	allow	the fixture serves HTTPS from a local certificate the Unix CI Git trusts; the broker's own admission and prompt boundary stay asserted on Windows
platform-control	controlled launcher symlink is a Unix regression fixture	allow	the launcher symlink fixture is asserted on unix runners
platform-control	hard-link count is enforced by the native Windows protected-root backend	allow	the generic hard-link fixture is replaced by the native Windows backend case
platform-control	an operator agent socket is a unix-domain rendezvous point	allow	the SSH agent-socket fixture is a POSIX unix-domain socket; Windows reaches an agent over a named pipe, so the shape is asserted on the unix runners

# --- host capability --------------------------------------------------------
host-capability	(symlink|symlinks|hard links|named pipes|symlink canonical-prefix test) unavailable	allow	the runner filesystem provides no such link
host-capability	filesystem does not support (hard|symbolic) links	allow	the runner filesystem provides no such link
host-capability	this host cannot create	allow	the runner cannot create the artefact the vector needs
