# Which conformance-root artefacts each package's conformance tests require.
#
# `.github/ci/suite-plan.sh` reads this table and the root it is given, and
# partitions the package set:
#
#   served    every declared artefact is present in the root -- the package
#             runs WITH `CURATOR_CONFORMANCE_ROOT` exported;
#   deferred  at least one declared artefact is absent -- the package runs
#             with the variable UNSET, taking the `CURATOR_CONFORMANCE_ROOT is
#             not set` path its own tests already implement, and the exact
#             missing artefact is named in the gate report.
#
# The partition is DERIVED FROM THE ROOT, never from the lane. Against a root
# that publishes the whole surface this module reads, the deferred set is empty
# and the entire module runs with the root exported; that is what
# `CI_REQUIRE_FULL_ROOT=1` asserts in the candidate lane, so a candidate run can
# never report success while a package quietly ran without its vectors.
#
# The committed SPEC_PIN is such a root: it publishes every artefact this
# table declares, so `suite-plan.sh` defers nothing on the default lanes either
# and the deferred column of the plan is empty on every hosted runner. The
# deferral shapes below are therefore the CANDIDATE story and the partial-root
# story, not a description of what the default lane does. The rows stay: they
# are what makes a pin or a candidate that stopped publishing an artefact fail
# by name instead of running the package without its vectors.
#
# One consequence is recorded in `.github/ci/platform-cases.tsv` rather than
# here: a package this pin serves can no longer be deferred by any hosted lane,
# so a `root-unset` tolerance on its ledger rows can never fire. The rows for
# the four packages this pin promoted from deferred to served carry no
# tolerated skip.
#
# A row is what makes a missing artefact LOUD. Two shapes are loud, and they are
# the only two allowed:
#
#   * the package is listed here. A root missing a declared artefact defers the
#     whole package, the artefact is named in the plan, and the deferral is
#     fatal under CI_REQUIRE_FULL_ROOT=1. The package's cases then guard on the
#     UNSET ROOT only -- `t.Skip("CURATOR_CONFORMANCE_ROOT is not set")`, class
#     `root-unset`, which `skip-classes.tsv` admits only for a deferred package.
#   * the package is absent from this table and reads its artefacts with no
#     guard at all, so a missing file goes RED with the open() error naming it.
#
# A THIRD shape is not allowed and is what this table exists to keep out: a
# per-artefact `t.Skipf("%s publishes no ... vector", root)` in a package that
# is absent from this table. That skip classifies as `root-content`, which is
# policy `allow` in EVERY lane, so the candidate lane stays green while the
# cases it was asked to run quietly do not run. `internal/interop` carried six
# such guards over four environments vector families and declared none of them;
# the fix was to split those cases into `internal/interop/environments` and list it
# here, so the pre-environments cases in `internal/interop` keep running on the
# committed pin while a candidate that drops a family fails by name.
#
# Columns are TAB separated:
#   package  artefact[,artefact...]  note
#
# package	artefacts	note
cmd/curator	vectors/umbrella-provider-resolution.json,vectors/manager-lifecycle.json	TestUmbrellaProviderResolutionVectors and both authoritative lifecycle consumers execute complete published case families
internal/buildsource	vectors/build-drivers.json	TestBuildSourceConformanceVectors reads the vector directly
internal/buildrepo	schema-cases/skill-build-v1,fixtures/external-repository/raw-objects.json,fixtures/external-repository/lfs-pointers.json,fixtures/external-repository/pack-index.json,fixtures/external-repository/local-config-and-refs.json,vectors/source-identities.json	complete skill-build-v1 and external-repository case consumers plus every published source identity
internal/devsub	schema-cases/skillfile-dev-v2	TestSkillfileDevV2PublishedCasesUseCoverageRatchet drives every published developer Skillfile schema case
internal/godriver	vectors/build-drivers.json,vectors/go-host-execution-policy.json,vectors/module-roots.json	full-list go-v1 identity, policy and module-root consumers read each published case
internal/buildcache	vectors/build-drivers.json	TestCandidateCacheOutcomeVocabulary reads the vector directly
internal/scopes	vectors/external-repository-lifecycle.json	TestAuthoritativeGarbageCollectionRootsAreRetained reads the vector directly
internal/closure	vectors/closures.json,vectors/manager-lifecycle.json	TestClosureOrderingConformanceVector and TestBuildCommandOrderingConformanceVector read every case group they bind
internal/runtimestore	vectors/manager-lifecycle.json	launcher contract consumers bind the complete launcher_cases family
internal/contextmaterialize	vectors/environments.json	TestSystemModuleAdmissionVectors binds the published materialization family
internal/marker	schema-cases/install-marker-v2,schema-cases/install-marker-v4,expected/build-driver/marker.json	the marker v2 and v4 schema cases and the authoritative compiled marker
internal/whitelist	fixtures/go-build-skill,expected/build-driver/context_files.json	the build-root context exclusion fixture and its expected file list
internal/moduleroots	vectors/module-roots.json	TestModuleRootVectors reads the vector directly
internal/scriptworker	vectors/script-host-execution-policy.json	TestExecutableIdentityCasesAtProductionEntry drives the published executable identity cases through the manager resolver
internal/scriptpolicy	vectors/script-host-execution-policy.json	the schema-8 script execution-policy family is read directly by every case in conformance_test.go
internal/envprofile	vectors/environments-env-passthrough.json	TestEnvironmentsEnvPassthroughVectors consumes every published case group
internal/shell	vectors/shell-hook-trust.json	TestShellHookTrustVectors consumes every published trust case
internal/skillspec	schema-cases/agent-skill-v6,schema-cases/agent-skill-v7,schema-cases/csk-skill-v7,schema-cases/agent-skill-v8,schema-cases/csk-skill-v8,vectors/portable-paths.json,fixtures/go-build-skill	the schema v6 and v7 cases, BOTH schema-8 manifest families, portable-path vectors and the go-build skill fixture
internal/install	vectors/build-drivers.json,vectors/manager-lifecycle.json	TestAuthoritativeCacheOutcomesDriveInstallation and the dry-run bindings read the vectors directly
internal/envfragment	schema-cases/launch-env-fragment-v1	TestFragmentAuthoritativeSchemaCases and TestFragmentEmissionMatchesReference read the fragment family directly
